<?xml version="1.0" encoding="utf-8"?>
<ComparisonDefinition xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xmlns:xsd="http://www.w3.org/2001/XMLSchema">
  <Delimiter>,</Delimiter>
  <KeyColumns>
    <Column>COL A</Column>
  </KeyColumns>
  <HeaderRowIndex>0</HeaderRowIndex>
  <ToleranceValue>0.1</ToleranceValue>
  <IgnoreInvalidRows>false</IgnoreInvalidRows>
  <ToleranceType>Relative</ToleranceType>
</ComparisonDefinition>
Reference: C:\temp\ReferenceTest.csv
Target: C:\temp\CandidateTest.csv
Comparison took 679ms
Break Type,Key,Reference Row, Reference Value, Candidate Row, Candidate Value
ValueMismatch,100,101,B,99,A
ValueMismatch,100,101,1.5,99,32.1
ValueMismatch,200,201,A,199,C
ValueMismatch,200,201,1.5,199,32.1
ValueMismatch,300,301,B,299,C
ValueMismatch,300,301,32.1,299,10.5
ValueMismatch,400,401,C,399,A
ValueMismatch,400,401,F,399,E
ValueMismatch,400,401,10.5,399,1.5
ValueMismatch,500,501,B,499,C
ValueMismatch,500,501,1.5,499,10.5
ValueMismatch,600,601,32.1,599,10.5
ValueMismatch,700,701,1.5,699,32.1
ValueMismatch,800,801,E,799,G
ValueMismatch,900,901,C,899,A
ValueMismatch,900,901,F,899,E
ValueMismatch,900,901,10.5,899,1.5
ValueMismatch,1000,1001,B,999,C
ValueMismatch,1000,1001,10.5,999,32.1
ValueMismatch,1100,1101,B,1099,C
ValueMismatch,1100,1101,F,1099,G
ValueMismatch,1100,1101,32.1,1099,1.5
ValueMismatch,1200,1201,10.5,1199,32.1
ValueMismatch,1400,1401,10.5,1399,1.5
ValueMismatch,1500,1501,A,1499,C
ValueMismatch,1600,1601,C,1599,B
ValueMismatch,1700,1701,C,1699,A
ValueMismatch,1700,1701,E,1699,F
ValueMismatch,1700,1701,10.5,1699,32.1
ValueMismatch,1800,1801,C,1799,B
ValueMismatch,1900,1901,A,1899,C
ValueMismatch,1900,1901,G,1899,F
ValueMismatch,1900,1901,10.5,1899,32.1
ValueMismatch,2000,2001,F,1999,G
ValueMismatch,2000,2001,10.5,1999,1.5
ValueMismatch,2100,2101,B,2099,A
ValueMismatch,2100,2101,E,2099,G
ValueMismatch,2100,2101,10.5,2099,1.5
ValueMismatch,2200,2201,10.5,2199,32.1
ValueMismatch,2300,2301,C,2299,B
ValueMismatch,2300,2301,F,2299,G
ValueMismatch,2300,2301,32.1,2299,10.5
ValueMismatch,2400,2401,B,2399,A
ValueMismatch,2400,2401,F,2399,G
ValueMismatch,2400,2401,1.5,2399,10.5
ValueMismatch,2500,2501,E,2499,G
ValueMismatch,2500,2501,10.5,2499,1.5
ValueMismatch,2700,2701,A,2699,B
ValueMismatch,2700,2701,G,2699,F
ValueMismatch,2800,2801,A,2799,C
ValueMismatch,2800,2801,E,2799,F
ValueMismatch,2900,2901,B,2899,C
ValueMismatch,3000,3001,1.5,2999,10.5
ValueMismatch,3100,3101,B,3099,A
ValueMismatch,3100,3101,F,3099,G
ValueMismatch,3100,3101,10.5,3099,1.5
ValueMismatch,3200,3201,C,3199,A
ValueMismatch,3200,3201,E,3199,F
ValueMismatch,3300,3301,10.5,3299,32.1
ValueMismatch,3400,3401,B,3399,A
ValueMismatch,3400,3401,G,3399,F
ValueMismatch,3400,3401,10.5,3399,32.1
ValueMismatch,3600,3601,B,3599,A
ValueMismatch,3600,3601,F,3599,G
ValueMismatch,3600,3601,32.1,3599,10.5
ValueMismatch,3700,3701,C,3699,A
ValueMismatch,3700,3701,E,3699,G
ValueMismatch,3900,3901,B,3899,A
ValueMismatch,3900,3901,G,3899,F
ValueMismatch,3900,3901,1.5,3899,32.1
ValueMismatch,4000,4001,C,3999,A
ValueMismatch,4000,4001,F,3999,E
ValueMismatch,4100,4101,C,4099,B
ValueMismatch,4100,4101,F,4099,E
ValueMismatch,4200,4201,C,4199,B
ValueMismatch,4200,4201,F,4199,G
ValueMismatch,4300,4301,G,4299,E
ValueMismatch,4300,4301,1.5,4299,32.1
ValueMismatch,4400,4401,E,4399,F
ValueMismatch,4400,4401,10.5,4399,1.5
ValueMismatch,4500,4501,C,4499,A
ValueMismatch,4600,4601,B,4599,A
ValueMismatch,4700,4701,C,4699,B
ValueMismatch,4700,4701,F,4699,E
ValueMismatch,4700,4701,1.5,4699,10.5
ValueMismatch,4800,4801,C,4799,A
ValueMismatch,4800,4801,32.1,4799,10.5
ValueMismatch,4900,4901,B,4899,A
ValueMismatch,4900,4901,10.5,4899,32.1
ValueMismatch,5000,5001,E,4999,G
ValueMismatch,5000,5001,1.5,4999,10.5
ValueMismatch,5100,5101,B,5099,C
ValueMismatch,5100,5101,E,5099,G
ValueMismatch,5200,5201,E,5199,F
ValueMismatch,5200,5201,1.5,5199,10.5
ValueMismatch,5300,5301,C,5299,A
ValueMismatch,5300,5301,E,5299,G
ValueMismatch,5400,5401,A,5399,C
ValueMismatch,5400,5401,G,5399,F
ValueMismatch,5500,5501,F,5499,E
ValueMismatch,5600,5601,B,5599,A
ValueMismatch,5600,5601,32.1,5599,10.5
ValueMismatch,5700,5701,C,5699,A
ValueMismatch,5800,5801,B,5799,C
ValueMismatch,5800,5801,E,5799,G
ValueMismatch,5800,5801,10.5,5799,32.1
ValueMismatch,5900,5901,C,5899,B
ValueMismatch,5900,5901,F,5899,G
ValueMismatch,5900,5901,32.1,5899,10.5
ValueMismatch,6000,6001,B,5999,C
ValueMismatch,6000,6001,10.5,5999,1.5
ValueMismatch,6100,6101,E,6099,F
ValueMismatch,6100,6101,32.1,6099,10.5
ValueMismatch,6200,6201,G,6199,E
ValueMismatch,6200,6201,32.1,6199,1.5
ValueMismatch,6300,6301,A,6299,C
ValueMismatch,6300,6301,E,6299,F
ValueMismatch,6300,6301,10.5,6299,1.5
ValueMismatch,6400,6401,B,6399,C
ValueMismatch,6400,6401,G,6399,E
ValueMismatch,6400,6401,10.5,6399,1.5
ValueMismatch,6500,6501,A,6499,B
ValueMismatch,6600,6601,B,6599,C
ValueMismatch,6600,6601,G,6599,E
ValueMismatch,6600,6601,10.5,6599,32.1
ValueMismatch,6700,6701,A,6699,B
ValueMismatch,6700,6701,G,6699,F
ValueMismatch,6700,6701,32.1,6699,1.5
ValueMismatch,6800,6801,A,6799,B
ValueMismatch,6800,6801,F,6799,G
ValueMismatch,6800,6801,10.5,6799,1.5
ValueMismatch,6900,6901,A,6899,C
ValueMismatch,6900,6901,E,6899,F
ValueMismatch,7000,7001,C,6999,A
ValueMismatch,7000,7001,E,6999,F
ValueMismatch,7000,7001,1.5,6999,32.1
ValueMismatch,7100,7101,C,7099,B
ValueMismatch,7100,7101,G,7099,E
ValueMismatch,7200,7201,C,7199,B
ValueMismatch,7200,7201,F,7199,E
ValueMismatch,7300,7301,G,7299,E
ValueMismatch,7400,7401,B,7399,A
ValueMismatch,7400,7401,1.5,7399,32.1
ValueMismatch,7500,7501,E,7499,F
ValueMismatch,7500,7501,10.5,7499,1.5
ValueMismatch,7600,7601,B,7599,A
ValueMismatch,7600,7601,G,7599,F
ValueMismatch,7600,7601,32.1,7599,10.5
ValueMismatch,7700,7701,C,7699,A
ValueMismatch,7700,7701,10.5,7699,32.1
ValueMismatch,7800,7801,C,7799,A
ValueMismatch,7800,7801,G,7799,F
ValueMismatch,7900,7901,C,7899,B
ValueMismatch,7900,7901,E,7899,G
ValueMismatch,8000,8001,G,7999,E
ValueMismatch,8000,8001,1.5,7999,32.1
ValueMismatch,8100,8101,32.1,8099,1.5
ValueMismatch,8200,8201,A,8199,B
ValueMismatch,8300,8301,A,8299,B
ValueMismatch,8300,8301,32.1,8299,10.5
ValueMismatch,8400,8401,A,8399,B
ValueMismatch,8400,8401,E,8399,F
ValueMismatch,8400,8401,32.1,8399,10.5
ValueMismatch,8500,8501,10.5,8499,1.5
ValueMismatch,8600,8601,B,8599,C
ValueMismatch,8600,8601,1.5,8599,32.1
ValueMismatch,8700,8701,A,8699,B
ValueMismatch,8700,8701,E,8699,G
ValueMismatch,8700,8701,32.1,8699,10.5
ValueMismatch,8800,8801,A,8799,C
ValueMismatch,8800,8801,10.5,8799,1.5
ValueMismatch,8900,8901,F,8899,G
ValueMismatch,8900,8901,1.5,8899,10.5
ValueMismatch,9000,9001,10.5,8999,32.1
ValueMismatch,9100,9101,10.5,9099,32.1
ValueMismatch,9200,9201,F,9199,G
ValueMismatch,9200,9201,10.5,9199,32.1
ValueMismatch,9300,9301,C,9299,A
ValueMismatch,9300,9301,E,9299,F
ValueMismatch,9300,9301,10.5,9299,32.1
ValueMismatch,9400,9401,1.5,9399,32.1
ValueMismatch,9500,9501,B,9499,C
ValueMismatch,9500,9501,E,9499,F
ValueMismatch,9500,9501,10.5,9499,32.1
ValueMismatch,9600,9601,F,9599,G
ValueMismatch,9700,9701,E,9699,F
ValueMismatch,9700,9701,10.5,9699,32.1
ValueMismatch,9800,9801,E,9799,F
ValueMismatch,10000,10001,10.5,9999,1.5
ValueMismatch,10100,10101,B,10099,A
ValueMismatch,10200,10201,A,10199,C
ValueMismatch,10200,10201,F,10199,E
ValueMismatch,10300,10301,B,10299,C
ValueMismatch,10300,10301,F,10299,E
ValueMismatch,10300,10301,1.5,10299,32.1
ValueMismatch,10400,10401,B,10399,A
ValueMismatch,10400,10401,E,10399,G
ValueMismatch,10500,10501,A,10499,C
ValueMismatch,10500,10501,F,10499,G
ValueMismatch,10600,10601,C,10599,A
ValueMismatch,10600,10601,E,10599,G
ValueMismatch,10600,10601,1.5,10599,10.5
ValueMismatch,10700,10701,B,10699,A
ValueMismatch,10700,10701,10.5,10699,32.1
ValueMismatch,10900,10901,A,10899,B
ValueMismatch,10900,10901,1.5,10899,32.1
ValueMismatch,11000,11001,C,10999,B
ValueMismatch,11000,11001,F,10999,E
ValueMismatch,11000,11001,10.5,10999,1.5
ValueMismatch,11100,11101,C,11099,B
ValueMismatch,11100,11101,10.5,11099,1.5
ValueMismatch,11200,11201,C,11199,A
ValueMismatch,11200,11201,G,11199,F
ValueMismatch,11300,11301,A,11299,B
ValueMismatch,11300,11301,F,11299,E
ValueMismatch,11400,11401,A,11399,B
ValueMismatch,11400,11401,G,11399,E
ValueMismatch,11500,11501,G,11499,E
ValueMismatch,11500,11501,10.5,11499,1.5
ValueMismatch,11600,11601,A,11599,C
ValueMismatch,11600,11601,E,11599,F
ValueMismatch,11700,11701,C,11699,A
ValueMismatch,11700,11701,E,11699,G
ValueMismatch,11800,11801,E,11799,F
ValueMismatch,11900,11901,A,11899,B
ValueMismatch,12100,12101,C,12099,A
ValueMismatch,12100,12101,F,12099,G
ValueMismatch,12200,12201,B,12199,C
ValueMismatch,12200,12201,E,12199,F
ValueMismatch,12300,12301,F,12299,E
ValueMismatch,12300,12301,1.5,12299,10.5
ValueMismatch,12400,12401,E,12399,G
ValueMismatch,12500,12501,B,12499,C
ValueMismatch,12500,12501,G,12499,E
ValueMismatch,12500,12501,1.5,12499,10.5
ValueMismatch,12600,12601,F,12599,G
ValueMismatch,12600,12601,1.5,12599,10.5
ValueMismatch,12700,12701,A,12699,B
ValueMismatch,12700,12701,G,12699,F
ValueMismatch,12800,12801,A,12799,B
ValueMismatch,12800,12801,G,12799,F
ValueMismatch,12800,12801,32.1,12799,1.5
ValueMismatch,12900,12901,B,12899,C
ValueMismatch,12900,12901,G,12899,F
ValueMismatch,12900,12901,10.5,12899,1.5
ValueMismatch,13000,13001,A,12999,B
ValueMismatch,13000,13001,E,12999,G
ValueMismatch,13000,13001,32.1,12999,10.5
ValueMismatch,13100,13101,B,13099,A
ValueMismatch,13100,13101,E,13099,G
ValueMismatch,13100,13101,10.5,13099,1.5
ValueMismatch,13200,13201,F,13199,E
ValueMismatch,13300,13301,10.5,13299,1.5
ValueMismatch,13400,13401,G,13399,E
ValueMismatch,13400,13401,10.5,13399,32.1
ValueMismatch,13500,13501,B,13499,A
ValueMismatch,13500,13501,G,13499,E
ValueMismatch,13600,13601,B,13599,A
ValueMismatch,13700,13701,C,13699,B
ValueMismatch,13700,13701,E,13699,G
ValueMismatch,13800,13801,E,13799,F
ValueMismatch,13800,13801,10.5,13799,1.5
ValueMismatch,13900,13901,E,13899,G
ValueMismatch,14000,14001,B,13999,A
ValueMismatch,14000,14001,1.5,13999,10.5
ValueMismatch,14100,14101,B,14099,A
ValueMismatch,14100,14101,F,14099,E
ValueMismatch,14100,14101,10.5,14099,1.5
ValueMismatch,14200,14201,C,14199,B
ValueMismatch,14200,14201,F,14199,G
ValueMismatch,14200,14201,1.5,14199,32.1
ValueMismatch,14300,14301,B,14299,C
ValueMismatch,14300,14301,E,14299,F
ValueMismatch,14300,14301,1.5,14299,10.5
ValueMismatch,14400,14401,E,14399,F
ValueMismatch,14500,14501,A,14499,C
ValueMismatch,14500,14501,E,14499,G
ValueMismatch,14500,14501,1.5,14499,32.1
ValueMismatch,14600,14601,A,14599,B
ValueMismatch,14600,14601,F,14599,G
ValueMismatch,14600,14601,10.5,14599,1.5
ValueMismatch,14700,14701,B,14699,A
ValueMismatch,14700,14701,G,14699,F
ValueMismatch,14800,14801,E,14799,F
ValueMismatch,14900,14901,F,14899,G
ValueMismatch,14900,14901,10.5,14899,32.1
ValueMismatch,15000,15001,E,14999,G
ValueMismatch,15000,15001,10.5,14999,32.1
ValueMismatch,15100,15101,A,15099,C
ValueMismatch,15100,15101,E,15099,G
ValueMismatch,15100,15101,10.5,15099,1.5
ValueMismatch,15200,15201,B,15199,A
ValueMismatch,15200,15201,F,15199,G
ValueMismatch,15300,15301,F,15299,G
ValueMismatch,15300,15301,1.5,15299,10.5
ValueMismatch,15400,15401,G,15399,E
ValueMismatch,15400,15401,1.5,15399,32.1
ValueMismatch,15500,15501,C,15499,B
ValueMismatch,15500,15501,G,15499,E
ValueMismatch,15600,15601,C,15599,B
ValueMismatch,15600,15601,10.5,15599,32.1
ValueMismatch,15700,15701,C,15699,B
ValueMismatch,15700,15701,G,15699,F
ValueMismatch,15700,15701,1.5,15699,32.1
ValueMismatch,15900,15901,B,15899,C
ValueMismatch,16000,16001,A,15999,B
ValueMismatch,16000,16001,E,15999,G
ValueMismatch,16100,16101,G,16099,E
ValueMismatch,16100,16101,10.5,16099,32.1
ValueMismatch,16200,16201,A,16199,B
ValueMismatch,16200,16201,E,16199,G
ValueMismatch,16300,16301,1.5,16299,32.1
ValueMismatch,16400,16401,A,16399,C
ValueMismatch,16400,16401,E,16399,F
ValueMismatch,16400,16401,32.1,16399,10.5
ValueMismatch,16500,16501,C,16499,B
ValueMismatch,16500,16501,1.5,16499,10.5
ValueMismatch,16600,16601,B,16599,C
ValueMismatch,16700,16701,A,16699,C
ValueMismatch,16700,16701,32.1,16699,10.5
ValueMismatch,16800,16801,C,16799,A
ValueMismatch,16800,16801,10.5,16799,1.5
ValueMismatch,16900,16901,C,16899,A
ValueMismatch,16900,16901,G,16899,E
ValueMismatch,17000,17001,B,16999,C
ValueMismatch,17000,17001,E,16999,F
ValueMismatch,17100,17101,A,17099,C
ValueMismatch,17100,17101,E,17099,G
ValueMismatch,17200,17201,C,17199,B
ValueMismatch,17200,17201,10.5,17199,1.5
ValueMismatch,17300,17301,C,17299,A
ValueMismatch,17300,17301,32.1,17299,1.5
ValueMismatch,17400,17401,A,17399,C
ValueMismatch,17400,17401,32.1,17399,1.5
ValueMismatch,17600,17601,10.5,17599,1.5
ValueMismatch,17700,17701,B,17699,C
ValueMismatch,17700,17701,F,17699,G
ValueMismatch,17800,17801,A,17799,B
ValueMismatch,17800,17801,E,17799,F
ValueMismatch,17900,17901,A,17899,C
ValueMismatch,17900,17901,E,17899,F
ValueMismatch,17900,17901,1.5,17899,10.5
ValueMismatch,18000,18001,B,17999,C
ValueMismatch,18000,18001,1.5,17999,32.1
ValueMismatch,18100,18101,G,18099,F
ValueMismatch,18100,18101,10.5,18099,32.1
ValueMismatch,18200,18201,10.5,18199,32.1
ValueMismatch,18300,18301,A,18299,C
ValueMismatch,18300,18301,F,18299,E
